doc	side	word	class	match
HT14	corpus	A-PU2-NA-DU	чтение-1	('A', 'PU', 'NA', 'DU')
HT140	SigLA	*118-KA	сегментация	('*86', 'SI', '*118', 'KA')
HT140	SigLA	KA-MA	чтение-1	('KA', 'PA')
HT140	corpus	U-*34-SI	прочее	
HT140	corpus	*86-SI-NI	прочее	
HT140	corpus	U-*34-SI	прочее	
HT140	corpus	*86-SI-*118-KA	прочее	
HT15	corpus	U-*34-SI	прочее	
HT19	corpus	RA-*164-TI	прочее	
HT23a	SigLA	QI-RI-TU-QA	чтение-1	('*21F', 'RI', 'TU', 'QA')
HT23a	corpus	*21F-RI-TU-QA	чтение-1	('QI', 'RI', 'TU', 'QA')
HT24a	corpus	KI-MA-RU	прочее	
HT24a	corpus	MA-RU-ME	прочее	
HT24a	corpus	MA-RU-ME	прочее	
HT24a	corpus	MA-RU-ME	прочее	
HT25a	SigLA	ZU-JU-PU	чтение-1	('ZU', 'JU', 'PU2')
HT25a	corpus	ZU-JU-PU2	чтение-1	('ZU', 'JU', 'PU')
HT26a	SigLA	U-NU-QI	чтение-1	('U', 'NU', '*21F')
HT26a	corpus	U-NU-*21F	чтение-1	('U', 'NU', 'QI')
HT26b	SigLA	PA-RO-NI	край±1	('RO', 'NI')
HT26b	corpus	RO-NI	край±1	('PA', 'RO', 'NI')
HT26b	corpus	*188-*86	прочее	
HT28a	SigLA	JA-QI	чтение-1	('JA', '*21F')
HT28a	corpus	JA-*21F	чтение-1	('JA', 'QI')
HT28a	corpus	SA-RA2	прочее	
HT28b	SigLA	JA-QI	чтение-1	('JA', '*21F')
HT28b	corpus	JA-*21F	чтение-1	('JA', 'QI')
HT29	SigLA	*340-KI-TA	край±1	('KI', 'TA')
HT29	corpus	KI-TA	край±1	('*340', 'KI', 'TA')
HT31	SigLA	QA-PA3	край±1	('*815', 'QA', 'PA3')
HT31	SigLA	SU-PU	сегментация	('*415', 'VS', 'SU', 'PU')
HT31	SigLA	KA-RO-PA3	сегментация	('*416', 'VS', 'KA', 'RO', 'PA3')
HT31	SigLA	SU-PA3-RA	край±1	('*815', 'SU', 'PA3', 'RA')
HT31	SigLA	PA-TA-QE	край±1	('*815', 'PA', 'TA', 'QE')
HT31	corpus	*410-VS	прочее	
HT31	corpus	*815-QA-PA3	край±1	('QA', 'PA3')
HT31	corpus	*415-VS-SU-PU	прочее	
HT31	corpus	*416-VS-KA-RO-PA3	прочее	
HT31	corpus	*815-SU-PA3-RA	край±1	('SU', 'PA3', 'RA')
HT31	corpus	*815-PA-TA-QE	край±1	('PA', 'TA', 'QE')
HT37	SigLA	A-NA	прочее	
HT38	corpus	*403-VS	прочее	
HT38	corpus	*554-*118	прочее	
HT49a	SigLA	TU-SU-PU	чтение-1	('TU', 'SU', 'PU2')
HT49a	corpus	TU-SU-PU2	чтение-1	('TU', 'SU', 'PU')
HT52a	SigLA	DI-KA-TU	чтение-1	('DI', 'KA', 'KI')
HT52a	corpus	DI-KA-KI	чтение-1	('DI', 'KA', 'TU')
HT54a	SigLA	MI-RA2	край±1	('KI', 'MI', 'RA2')
HT54a	corpus	KI-MI-RA2	край±1	('MI', 'RA2')
HT58	corpus	U-KI	прочее	
HT62+73	SigLA	I-TI	чтение-1	('*28B', 'TI')
HT62+73	corpus	*28B-TI	чтение-1	('I', 'TI')
HT63	SigLA	SU-PU	чтение-1	('SU', 'PU2')
HT63	corpus	SU-PU2	чтение-1	('SU', 'PU')
HT6b	SigLA	MA-RI-I	прочее	
HT6b	SigLA	DU-KI	чтение-1	('DA', 'KI')
HT6b	corpus	MA-RI-RE-I	прочее	
HT6b	corpus	DA-KI	чтение-1	('DU', 'KI')
HT7b	SigLA	QI-TU-NE	чтение-1	('*21F', 'TU', 'NE')
HT7b	corpus	*21F-TU-NE	чтение-1	('QI', 'TU', 'NE')
HT84	SigLA	QI-JA-DU	чтение-1	('*21F', 'JA', 'DU')
HT84	corpus	*21F-JA-DU	чтение-1	('QI', 'JA', 'DU')
HT87	SigLA	QI-TU-NE	чтение-1	('*21F', 'TU', 'NE')
HT87	SigLA	A-RA-A-TU	сегментация	(('A', 'RA'), ('A', 'TU'))
HT87	corpus	*21F-TU-NE	чтение-1	('QI', 'TU', 'NE')
HT87	corpus	A-RA	сегментация	('A', 'RA', 'A', 'TU')
HT87	corpus	A-TU	сегментация	('A', 'RA', 'A', 'TU')
HT8b	corpus	SU-PU2-*188	прочее	
HT8b	corpus	PA3-*188	прочее	
HT93a	corpus	*406-VS	прочее	
HT94b	SigLA	RA-DE-ME-TE	край±1	('DE', 'ME', 'TE')
HT94b	SigLA	QI-TU	чтение-1	('*21F', 'TU')
HT94b	corpus	DE-ME-TE	край±1	('RA', 'DE', 'ME', 'TE')
HT94b	corpus	*21F-TU	чтение-1	('QI', 'TU')
HT95a	SigLA	KU-NI	край±1	('KU', 'NI', 'SU')
HT95a	SigLA	DI-DE-RU-QE-RA2-U	сегментация	(('DI', 'DE', 'RU'), ('QE', 'RA2', 'U'))
HT95a	corpus	KU-NI-SU	край±1	('KU', 'NI')
HT95a	corpus	DI-DE-RU	сегментация	('DI', 'DE', 'RU', 'QE', 'RA2', 'U')
HT95a	corpus	QE-RA2-U	сегментация	('DI', 'DE', 'RU', 'QE', 'RA2', 'U')
HT95b	SigLA	DA-ZA	чтение-1	('DA', 'ME')
HT95b	corpus	DA-ME	чтение-1	('DA', 'ZA')
HT96a	corpus	*323-*317	прочее	
HT96a	corpus	*323-*344	прочее	
HT96a	corpus	TE-NI	прочее	
HT97a	SigLA	NA-TI-MA-DI	сегментация	(('NA', 'TI'), ('MA', 'DI'))
HT97a	corpus	NA-TI	чтение-1	('TA', 'TI')
HT97a	corpus	MA-DI	сегментация	('NA', 'TI', 'MA', 'DI')
HT9a	SigLA	A-RU-KU-RO	сегментация	(('A', 'RU'), ('KU', 'RO'))
HT9a	corpus	A-RU	сегментация	('A', 'RU', 'KU', 'RO')
HT9a	corpus	KU-RO	чтение-1	('SA', 'RO')
HTZb160	SigLA	PA-TA-DA	сегментация	('PA', 'TA', 'DA', 'DU', 'PU2', 'RE')
HTZb160	SigLA	DU-PU-RE	прочее	
HTZb160	corpus	PA-TA-DA-DU-PU2-RE	прочее	
HTZd155	SigLA	NA-MA-MA-TI-TI-*319	чтение-1	('NA', 'MA', 'MA', 'TI', 'TI', '*904')
HTZd155	corpus	NA-MA-MA-TI-TI-*904	чтение-1	('NA', 'MA', 'MA', 'TI', 'TI', '*319')
KH105	SigLA	KI-TI	край±1	('DE', 'KI', 'TI')
KH105	corpus	DE-KI-TI	край±1	('KI', 'TI')
KH11	SigLA	A-DU-ZA	край±1	('A', 'DU')
KH11	corpus	A-DU	край±1	('A', 'DU', 'ZA')
KH74	corpus	SI-*805-MI	прочее	
KH7a	SigLA	KU-KO-E	край±1	('KO', 'E')
KH7a	corpus	KO-E	край±1	('KU', 'KO', 'E')
KH88	SigLA	QI-*118	чтение-1	('*21F', '*118')
KH88	corpus	*21F-*118	чтение-1	('QI', '*118')
KH92	SigLA	A-DA-QI-RI	чтение-1	('A', 'DA', '*21F', 'RI')
KH92	corpus	A-DA-*21F-RI	чтение-1	('A', 'DA', 'QI', 'RI')
KH97a	SigLA	A-JA	край±1	('RE', 'A', 'JA')
KH97a	corpus	RE-A-JA	край±1	('A', 'JA')
KN22c	SigLA	MA-SU-MI-NA	край±1	('MA', 'SU', 'MI')
KN22c	corpus	MA-SU-MI	край±1	('MA', 'SU', 'MI', 'NA')
KNZc6	SigLA	A-DI-DA-KI-TI-PA-KU	сегментация	('*34', 'TI', 'RI', 'A', 'DI', 'DA', 'KI', 'TI', 'PA', 'KU')
KNZc6	corpus	*34-TI-RI-A-DI-DA-KI-TI-PA-KU	прочее	
KNZc7	SigLA	A-KA-NU-ZE-TI	чтение-1	('A', 'KA', 'NU', 'ZA', 'TI')
KNZc7	SigLA	JA-SA-RA-A-NA-NE-WI-PI	сегментация	(('JA', 'SA', 'RA', 'A', 'NA', 'NE'), ('WI', 'PI'))
KNZc7	corpus	A-KA-NU-ZA-TI	чтение-1	('A', 'KA', 'NU', 'ZE', 'TI')
KNZc7	corpus	JA-SA-RA-A-NA-NE	сегментация	('JA', 'SA', 'RA', 'A', 'NA', 'NE', 'WI', 'PI')
KNZc7	corpus	WI-PI	сегментация	('JA', 'SA', 'RA', 'A', 'NA', 'NE', 'WI', 'PI')
MA1a	SigLA	I-DU-WI	край±1	('*903', 'I', 'DU', 'WI')
MA1a	corpus	*903-I-DU-WI	край±1	('I', 'DU', 'WI')
PE1	SigLA	U-KA-RE	сегментация	('U', 'KA', 'RE', 'A', 'SE', 'SI', 'NA')
PE1	SigLA	A-SE-SI-NA	сегментация	('U', 'KA', 'RE', 'A', 'SE', 'SI', 'NA')
PE1	corpus	U-KA-RE-A-SE-SI-NA	сегментация	(('U', 'KA', 'RE'), ('A', 'SE', 'SI', 'NA'))
PE2	SigLA	RU-PI	сегментация	('RU', 'PI', '*305', 'MI')
PE2	SigLA	SA-*305-MI	прочее	
PE2	corpus	RU-PI-*305-MI	прочее	
PE2	corpus	TO-*49-RE	прочее	
PH16a	SigLA	*320-NA	чтение-1	('TI', 'NA')
PH16a	corpus	TI-NA	чтение-1	('*320', 'NA')
PH2	SigLA	A-SE-TU-QI	чтение-1	('A', 'SE', 'TU', '*21F')
PH2	corpus	A-SE-TU-*21F	чтение-1	('A', 'SE', 'TU', 'QI')
PH30	SigLA	TI-RI	прочее	
PH31a	corpus	AU-SI-RE	прочее	
PH31b	corpus	NE-*22M	прочее	
PH31b	corpus	AU-SI-RE	прочее	
PH54	SigLA	DU-TI	прочее	
PHWa32	SigLA	SU-KI-RA-TA	чтение-1	('SU', 'KI', 'RI', 'TA')
PHWa32	corpus	SU-KI-RI-TA	чтение-1	('SU', 'KI', 'RA', 'TA')
PSZa2	SigLA	JA-TI	прочее	
TY2	SigLA	*309-KI-PU	чтение-1	('*309B', 'KI', 'PU')
TY2	SigLA	*309-RI-DA-JU	чтение-1	('*309', 'RI', 'WA', 'JU')
TY2	SigLA	*309-RI-KA-RU	прочее	
TY2	corpus	*309B-*34-PU-PI	прочее	
TY2	corpus	*309B-KI-PU	чтение-1	('*309', 'KI', 'PU')
TY2	corpus	*309C-DA-JU	прочее	
TY2	corpus	*309C-RU-KA	прочее	
TY2	corpus	*309B-RI-JU	чтение-1	('*309', 'RI', 'JU')
TY3a	corpus	NE-KI	прочее	
TY3b	SigLA	PA-MI	прочее	
ZA10b	corpus	U-*49	прочее	
ZA14	SigLA	QI-*118	чтение-1	('*21F', '*118')
ZA14	corpus	*21F-*118	чтение-1	('QI', '*118')
ZA15a	SigLA	I-NU-MA-RE	чтение-1	('*28B', 'NU', 'MA', 'RE')
ZA15a	SigLA	SI-KI	прочее	
ZA15a	SigLA	MI-DA-E	край±1	('SA', 'MI', 'DA', 'E')
ZA15a	SigLA	*364-KE-MA-SE	чтение-1	('*363', 'KE', 'MA', 'SE')
ZA15a	corpus	*47-KU-NA	прочее	
ZA15a	corpus	*28B-NU-MA-RE	чтение-1	('I', 'NU', 'MA', 'RE')
ZA15a	corpus	SI-PI-KI	прочее	
ZA15a	corpus	SA-MI-DA-E	край±1	('MI', 'DA', 'E')
ZA15a	corpus	*363-KE-MA-SE	чтение-1	('*364', 'KE', 'MA', 'SE')
ZA4a	SigLA	PI-SE	прочее	
ZA4a	SigLA	I-NU-MA-RE	чтение-1	('*28B', 'NU', 'MA', 'RE')
ZA4a	corpus	*28B-NU-MA-RE	чтение-1	('I', 'NU', 'MA', 'RE')
ZA4a	corpus	E-*82	прочее	
ZA5a	SigLA	QI-*118	чтение-1	('*21F', '*118')
ZA5a	corpus	*21F-*118	чтение-1	('QI', '*118')
ZA5b	SigLA	I-NU-MA-RE	чтение-1	('*28B', 'NU', 'MA', 'RE')
ZA5b	corpus	*28B-NU-MA-RE	чтение-1	('I', 'NU', 'MA', 'RE')
ZA6a	SigLA	PU-RA2	чтение-1	('PU2', 'RA2')
ZA6a	corpus	*34-JU-TE-MI	прочее	
ZA6a	corpus	PU2-RA2	чтение-1	('PU', 'RA2')
ZA6b	SigLA	I-KU-JU-TI-I	чтение-1	('I', 'KU', 'JU', 'TI', '*28B')
ZA6b	corpus	I-KU-JU-TI-*28B	чтение-1	('I', 'KU', 'JU', 'TI', 'I')
ZAWc2	SigLA	A-TI-KA	сегментация	('A', 'TI', 'KA', 'A', 'DU', 'KO', 'MI')
ZAWc2	SigLA	A-DU-KO-MI	сегментация	('A', 'TI', 'KA', 'A', 'DU', 'KO', 'MI')
ZAWc2	corpus	A-TI-KA-A-DU-KO-MI	сегментация	(('A', 'TI', 'KA'), ('A', 'DU', 'KO', 'MI'))
ZAWc2	corpus	A-TI-KA-A-DU-KO-MI	сегментация	(('A', 'TI', 'KA'), ('A', 'DU', 'KO', 'MI'))
