doc_id	tok_index	kind	norm	doubt_positions	source_page
HT111b	7	NUM	3	ALL	HT111.b
HT112b	1	NUM	6	ALL	HT112.b
HT113	8	NUM	5/2	ALL	HT113
HT113ter	2	NUM	4	ALL	HT113ter
HT114b	1	NUM	9	ALL	HT114.b
HT115a	6	WORD	RI-TA-MA-NU-WI	0,1,2	HT115.a
HT115a	9	WORD	*301-U-RA	1,2	HT115.a
HT115a	18	NUM	1	ALL	HT115.a
HT115a	26	WORD	RI-SU-MA	0,1,2	HT115.a
HT115a	28	WORD	SU	0	HT115.a
HT115a	29	NUM	11/5	ALL	HT115.a
HT115b	23	WORD	A-I	1	HT115.b
HT115b	24	NUM	1	ALL	HT115.b
HT115b	27	NUM	1	ALL	HT115.b
HT116a	0	WORD	U-TA-RO	0	16.a
HT116a	25	NUM	6	ALL	16.a
HT116a	43	WORD	SI-KI-NE	2	16.a
HT116a	50	WORD	QA-NU-MA	0	16.a
HT116b	5	NUM	15	ALL	16.b
HT117a	48	WORD	KO-SA-I-TI	2	HT117.a
HT11a	2	NUM	3	ALL	HT11.a
HT11a	4	WORD	KA-RO-NA	0	HT11.a
HT11a	7	WORD	*322-RI	0	HT11.a
HT11a	14	NUM	1	ALL	HT11.a
HT11b	0	WORD	DE-NU	0,1	HT11.b
HT11b	2	WORD	RU-RA2	0	HT11.b
HT11b	23	NUM	180	ALL	HT11.b
HT120	22	WORD	PA-I-TO	1,2	HT120
HT122a	3	NUM	2	ALL	HT122.a
HT122b	9	WORD	A-RA-JU-U-DE-ZA	5	HT122.b
HT122b	10	NUM	2	ALL	HT122.b
HT122b	25	NUM	97	ALL	HT122.b
HT123+124a	9	NUM	1	ALL	HT123+124.a
HT123+124a	16	NUM	35/4	ALL	HT123+124.a
HT123+124a	19	NUM	0	ALL	HT123+124.a
HT123+124a	26	NUM	25/6	ALL	HT123+124.a
HT123+124a	49	NUM	151/6	ALL	HT123+124.a
HT125a	2	WORD	RA2	0	HT125.a
HT125a	7	WORD	OLE+U	0	HT125.a
HT125b	6	WORD	RE-TA2	0	HT125.b
HT126a	7	NUM	1	ALL	HT126.a
HT126a	9	WORD	U	0	HT126.a
HT126a	11	NUM	1/2	ALL	HT126.a
HT126a	16	WORD	U-*49	1	HT126.a
HT126a	17	NUM	1	ALL	HT126.a
HT126a	19	WORD	PI	0	HT126.a
HT126a	21	NUM	62	ALL	HT126.a
HT126b	0	WORD	*305	0	HT126.b
HT127a	3	NUM	1	ALL	HT127.a
HT127a	6	NUM	1	ALL	HT127.a
HT127b	4	WORD	NE	0	HT127.b
HT127b	7	WORD	KU-RO	1	HT127.b
HT127b	12	NUM	72	ALL	HT127.b
HT127b	20	WORD	*301	0	HT127.b
HT127b	24	NUM	14	ALL	HT127.b
HT128a	5	WORD	TU-RU-NU-SE-ME	0	HT128.a
HT128a	9	WORD	WA-TU-MA-RE	2	HT128.a
HT128a	17	WORD	GRA+KU	0	HT128.a
HT128b	0	WORD	GRA+KU	0	HT128.b
HT128b	4	WORD	GRA+KU	0	HT128.b
HT129	15	NUM	1	ALL	HT129
HT129	18	NUM	6	ALL	HT129
HT129	20	WORD	OLE	0	HT129
HT13	18	WORD	DA-SI-*118	0	HT13
HT130	5	WORD	SA-RA2	0	HT130
HT130	10	WORD	RA2	0	HT130
HT130	12	WORD	KU-RO	0,1	HT130
HT130	20	NUM	6	ALL	HT130
HT131a	3	NUM	62	ALL	HT131.a
HT131b	3	NUM	30	ALL	HT131.b
HT132	13	NUM	1	ALL	HT132
HT135a	2	WORD	NE-MI-NA	0	HT135.a
HT135a	14	WORD	MI	0	HT135.a
HT136a	1	NUM	30	ALL	HT136.a
HT137	2	WORD	TA2	0	HT137
HT137	3	WORD	GRA	0	HT137
HT137	4	NUM	3	ALL	HT137
HT137	6	WORD	OLE+MI	0	HT137
HT137	7	NUM	6	ALL	HT137
HT137	10	NUM	2	ALL	HT137
HT139	2	WORD	GRA	0	HT139
HT140	3	WORD	*86-SI-NI	1	HT140
HT140	5	NUM	1	ALL	HT140
HT140	17	WORD	*86-SI-*118-KA	0,1	HT140
HT140	22	WORD	MA	0	HT140
HT140	28	WORD	OLE+U	0	HT140
HT140	37	WORD	KA	0	HT140
HT141	2	NUM	1	ALL	HT141
HT141	6	WORD	RU-DI	1	HT141
HT146	2	WORD	QE	0	HT146
HT146	3	NUM	30	ALL	HT146
HT147	7	WORD	NI	0	HT147
HT15	3	WORD	DU-AROM-A	2	HT15
HT154a	0	WORD	TU-ME-PA-JA	0,2,3	HT154A
HT154a	2	WORD	OLIV	0	HT154A
HT154a	8	WORD	KU	0	HT154A
HT154a	9	NUM	6	ALL	HT154A
HT154a	11	WORD	TA	0	HT154A
HT154c	4	NUM	5/2	ALL	HT154C
HT154e	3	NUM	14	ALL	HT154E.a
HT154g	2	NUM	13/2	ALL	HT154G.a
HT154ja	4	WORD	NU-TE	0,1	HT154J.a
HT154k	4	NUM	2	ALL	HT154K
HT154l	2	NUM	2	ALL	HT154L.a
HT154n	4	NUM	6	ALL	HT154N
HT16	13	WORD	SA-PO	1	HT16
HT19	11	NUM	87/2	ALL	HT19
HT2	3	NUM	20	ALL	HT2
HT2	6	NUM	17	ALL	HT2
HT2	13	NUM	54	ALL	HT2
HT2	18	NUM	1	ALL	HT2
HT22	7	WORD	*330+DA	0	HT22
HT23a	17	WORD	MI+JA+RU	0	HT23.a
HT23a	35	WORD	SA-SA-ME	1	HT23.a
HT23b	0	WORD	NI-RA	0,1	HT23.b
HT23b	5	NUM	1/3	ALL	HT23.b
HT23b	7	WORD	MI+JA+RU	0	HT23.b
HT23b	9	WORD	MU	0	HT23.b
HT23b	19	NUM	7	ALL	HT23.b
HT24a	16	WORD	RU-I-KO	0,1	HT24.a
HT25a	2	NUM	1	ALL	HT25.a
HT25a	4	WORD	DI-NA-U	0,1,2	HT25.a
HT25a	9	WORD	U-RE-WI	0	HT25.a
HT25a	10	NUM	1	ALL	HT25.a
HT25a	12	WORD	DI-NA-U	0,1,2	HT25.a
HT25a	20	WORD	ZU-JU-PU2	2	HT25.a
HT25b	4	WORD	KU-RO	0,1	HT25.b
HT25b	5	NUM	16	ALL	HT25.b
HT25b	7	WORD	WI-TE-RO	0	HT25.b
HT25b	9	WORD	I-TI	1	HT25.b
HT25b	10	WORD	VIR+[?]	0	HT25.b
HT26b	4	NUM	9	ALL	HT26.b
HT26b	15	WORD	I-*308	0,1	HT26.b
HT26b	16	NUM	2	ALL	HT26.b
HT26b	18	WORD	*188-*86	0	HT26.b
HT26b	19	NUM	7	ALL	HT26.b
HT27a	6	NUM	90	ALL	HT27.a
HT27a	14	NUM	20	ALL	HT27.a
HT27a	17	NUM	43	ALL	HT27.a
HT27a	26	WORD	KU-*305	1	HT27.a
HT27a	35	NUM	335	ALL	HT27.a
HT27a	41	NUM	31/3	ALL	HT27.a
HT27b	7	WORD	VIN	0	HT27.b
HT27b	34	WORD	VIN	0	HT27.b
HT27b	42	NUM	40	ALL	HT27.b
HT28a	17	WORD	OLE+TU	0	HT28.a
HT28a	44	WORD	OLE+DI	0	HT28.a
HT28b	15	WORD	VIN	0	HT28.b
HT28b	16	NUM	4	ALL	HT28.b
HT28b	26	WORD	WI-DI-NA	2	HT28.b
HT28b	33	NUM	1/4	ALL	HT28.b
HT29	1	NUM	2	ALL	HT29
HT29	4	NUM	1	ALL	HT29
HT29	6	WORD	PA-JA-RE	2	HT29
HT29	7	NUM	2	ALL	HT29
HT29	12	WORD	SA-*323-MI	1	HT29
HT3	7	WORD	QE-RA2-JA	1	HT3
HT3	21	WORD	SI-TU-RA2-RE	2,3	HT3
HT3	24	WORD	DI	0	HT3
HT3	32	WORD	DA	0	HT3
HT30	40	NUM	1/5	ALL	HT30
HT31	20	NUM	30	ALL	HT31
HT31	22	NUM	10	ALL	HT31
HT31	27	NUM	400	ALL	HT31
HT32	0	WORD	*307	0	HT32
HT32	16	WORD	MI+JA+RU	0	HT32
HT32	19	WORD	SU-RE	1	HT32
HT32	28	WORD	RE	0	HT32
HT33	15	WORD	MI+JA+KA	0	HT33
HT34	0	WORD	DA-JU-TE	0,1	HT34
HT34	7	WORD	MI+JA+KA	0	HT34
HT34	15	WORD	GRA	0	HT34
HT34	16	NUM	200	ALL	HT34
HT34	19	NUM	2	ALL	HT34
HT34	30	WORD	SA+MU+KU	ALL	HT34
HT35	9	WORD	MI+JA+RU	0	HT35
HT37	0	WORD	MI+JA+I	0	HT37
HT37	3	WORD	KA-KI	1	HT37
HT37	19	WORD	KI-RO	1	HT37
HT37	22	WORD	KA-KI	0	HT37
HT37	26	NUM	15	ALL	HT37
HT38	4	WORD	DA-RO-PA	2	HT38
HT39	8	WORD	SA-MA-TI	2	HT39
HT39	9	NUM	10	ALL	HT39
HT39	11	WORD	KU-RE	1	HT39
HT39	15	NUM	100	ALL	HT39
HT39	18	NUM	2	ALL	HT39
HT4	2	WORD	*306-TI-KA-A-RE	3,4	HT4
HT4	4	WORD	DU-RI-TE	1	HT4
HT4	7	WORD	PA-RE	0	HT4
HT40	12	WORD	KU-RO	1	HT40
HT41a	15	NUM	10	ALL	HT41.a
HT42+59	9	WORD	OLE+U	0	HT42
HT42+59	19	NUM	2	ALL	HT42
HT42+59	27	NUM	2	ALL	HT42
HT43	7	NUM	5	ALL	HT43
HT44a	14	NUM	1	ALL	HT44.a
HT44b	0	WORD	JA	0	HT44.b
HT44b	8	WORD	VIN	0	HT44.b
HT45a	2	NUM	0	ALL	HT45.a
HT45a	4	WORD	PA	0	HT45.a
HT45b	7	NUM	0	ALL	HT45.b
HT45b	9	WORD	KU	0	HT45.b
HT45b	20	NUM	0	ALL	HT45.b
HT46a	3	NUM	1	ALL	HT46.a
HT47a	8	NUM	20	ALL	HT47.a
HT47a	10	WORD	U	0	HT47.a
HT47a	12	WORD	PI	0	HT47.a
HT47a	15	WORD	KI-DA-RO	2	HT47.a
HT49a	3	WORD	RA2-DU	1	HT49.a
HT49a	5	WORD	TA-NA-TI	0	HT49.a
HT49a	19	WORD	TI-DU-NI	0	HT49.a
HT49a	24	WORD	SI-RA	0,1	HT49.a
HT49a	25	NUM	1	ALL	HT49.a
HT49a	36	WORD	KU-PA3-NU	1	HT49.a
HT49a	39	WORD	TU-SU-PU2	0	HT49.a
HT49a	54	NUM	1	ALL	HT49.a
HT49b	4	WORD	I-KI	0,1	HT49.b
HT5	4	WORD	MA-SI	0	HT5
HT50b	9	NUM	1	ALL	HT50.b
HT51a	7	WORD	MA	0	HT51.a
HT51a	9	WORD	SE	0	HT51.a
HT51a	14	WORD	RE	0	HT51.a
HT51b	1	NUM	12	ALL	HT51.b
HT51b	3	WORD	ZU-DU	0	HT51.b
HT52a	7	WORD	DI-KA-KI	2	HT52.a
HT52b	3	NUM	201	ALL	HT52.b
HT53a	2	WORD	SA-NE	0,1	HT53.a
HT53a	8	WORD	OLE	0	HT53.a
HT53a	10	NUM	100	ALL	HT53.a
HT53a	12	WORD	RA	0	HT53.a
HT53b	4	NUM	18	ALL	HT53.b
HT53b	8	WORD	KU-RE	0,1	HT53.b
HT54a	6	WORD	KI-MI-RA2	0,1,2	HT54.a
HT55a	0	WORD	KI-RO	0,1	HT55.a
HT55a	4	NUM	1	ALL	HT55.a
HT55b	3	WORD	QE	0	HT55.b
HT56a	3	WORD	SA	0	HT56.a
HT56a	5	NUM	23/2	ALL	HT56.a
HT57a	6	NUM	1/8	ALL	HT57.a
HT57b	0	WORD	*305	0	HT57.b
HT58	0	WORD	QE-TI-RA-DU	0	HT58
HT58	2	WORD	VIR+[?]	0	HT58
HT58	4	WORD	OLE+U	0	HT58
HT58	13	NUM	41	ALL	HT58
HT58	15	WORD	U-KI	1	HT58
HT60	3	NUM	1/16	ALL	HT60
HT60	5	WORD	MI+JA+[ ]	0	HT60
HT61	2	WORD	MI-TI	0,1	HT61
HT61	5	NUM	6	ALL	HT61
HT62+73	4	WORD	VIN	0	HT62
HT62+73	7	WORD	NA	0	HT62
HT62+73	8	WORD	GRA	0	HT62
HT62+73	14	NUM	18	ALL	HT62
HT62+73	18	NUM	6	ALL	HT62
HT62+73	22	NUM	17/4	ALL	HT62
HT62+73	24	WORD	KA	0	HT62
HT62+73	27	NUM	4	ALL	HT62
HT62+73	34	NUM	25	ALL	HT62
HT62+73	45	NUM	8	ALL	HT62
HT65	3	NUM	1/16	ALL	HT65.a
HT67	5	NUM	420	ALL	HT67
HT67	7	WORD	NI	0	HT67
HT68	5	NUM	4	ALL	HT68
HT69	2	NUM	5	ALL	HT69
HT69	5	NUM	8	ALL	HT69
HT69	8	NUM	4	ALL	HT69
HT6b	12	WORD	DA-KI	0,1	HT6.b
HT70	0	WORD	NI	0	HT70
HT70	5	WORD	QA-*118-SA	1	HT70
HT70	6	NUM	9/4	ALL	HT70
HT74	5	NUM	20	ALL	HT74
HT79+83	0	WORD	I	0	HT79
HT79+83	2	WORD	*305	0	HT79
HT79+83	9	WORD	TU-PA-RI	1,2	HT79
HT79+83	10	NUM	1	ALL	HT79
HT79+83	18	WORD	ZU	0	HT79
HT79+83	19	NUM	3	ALL	HT79
HT81	0	WORD	A-SE	0	HT81
HT81	2	WORD	MI+JA+RU	0	HT81
HT81	4	NUM	1/6	ALL	HT81
HT81	7	NUM	0	ALL	HT81
HT85a	25	WORD	DA-RE	0	HT85.a
HT85b	13	NUM	1	ALL	HT85.b
HT87	14	WORD	QE-SU-PU	0	HT87
HT89	7	WORD	JU+*317+QE	ALL	HT89
HT89	19	WORD	KU-RO	0,1	HT89
HT89	20	NUM	87	ALL	HT89
HT89	23	NUM	11/4	ALL	HT89
HT89	29	NUM	6	ALL	HT89
HT91	37	WORD	E	0	HT91
HT91	38	NUM	3	ALL	HT91
HT93a	18	NUM	107/4	ALL	HT93.a
HT93a	34	WORD	O-TI	0	HT93.a
HT93a	47	WORD	PA-SE-JA	0	HT93.a
HT93b	0	NUM	991/6	ALL	HT93.b
HT94a	21	NUM	5	ALL	HT94.a
HT94a	26	NUM	2	ALL	HT94.a
HT94a	37	NUM	29/2	ALL	HT94.a
HT94b	19	NUM	5	ALL	HT94.b
HT95a	7	WORD	MI-NU-TE	1	HT95.a
HT95a	13	WORD	KU-NI-SU	2	HT95.a
HT96a	0	WORD	I-TI-TI-KU-NI	0	HT96.a
HT96b	9	NUM	163/4	ALL	HT96.b
HT97a	13	WORD	PA-I-TO	2	HT97.a
HT97a	23	NUM	5	ALL	HT97.a
HT97a	31	WORD	ZU	0	HT97.a
HT97a	32	NUM	5	ALL	HT97.a
HT97a	37	WORD	DE	0	HT97.a
HT97a	41	NUM	3	ALL	HT97.a
HT97a	43	NUM	5	ALL	HT97.a
HT97b	0	WORD	SA-RA2	0,1	HT97.b
HT98a	2	WORD	DE	0	HT98.a
HT98a	5	WORD	TU	0	HT98.a
HT98b	2	WORD	*188	0	HT98.b
HT99a	4	WORD	CYP	0	HT99.a
HT99a	5	NUM	4	ALL	HT99.a
HT99a	8	NUM	4	ALL	HT99.a
HT99b	3	WORD	DA-SI-*118	0	HT99.b
HT9b	3	WORD	WA-JA-PI	0,1,2	HT9.b
HT9b	10	WORD	PA-DE	0,1	HT9.b
HT9b	13	WORD	A-SI	0,1	HT9.b
HT9b	16	WORD	*306-TU	1	HT9.b
HT9b	19	WORD	*324-DI-RA	0	HT9.b
HT9b	25	WORD	TA-I-AROM	1	HT9.b
HT9b	28	WORD	DI-NA-U	2	HT9.b
HTWa1019	0	WORD	PA-TA-NE	1	HTWe1019
IOZa12	2	WORD	JA-SA-SA-RA-ME	2,4	IOZa12
IOZa15	0	WORD	I-PI-NA-MA	0	VRYZa1
IOZa15	2	WORD	SI-RU-TE	1	IOZa15
IOZa4	0	WORD	*301-WA	1	IOZa4
IOZa6	2	WORD	I-NA-TA-I-ZU-DI-SI-KA	4	IOZa6
IOZa7	0	WORD	A-TA-I-*301-WA-JA	1,2,3	SYZa3
IOZa9	3	WORD	U-NA-KA-NA-SI	0	IOZa9
IOZa<1>	0	WORD	A-JE-SA	2	IOZa<1>
KE1	0	WORD	KA-SA	1	KE1
KEZb4	1	WORD	JA-SI-E	1	KEZb4
KH1	5	NUM	7/2	ALL	KH1
KH1	7	WORD	NI	0	KH1
KH10	2	NUM	2	ALL	KH10
KH10	5	NUM	1/2	ALL	KH10
KH10	10	WORD	I-PA-SA-JA	3	KH10
KH100	6	NUM	1/4	ALL	KH100
KH12	6	WORD	MI+JA+RU	0	KH12
KH12	9	NUM	1/3	ALL	KH12
KH12	25	NUM	0	ALL	KH12
KH14	6	NUM	6	ALL	KH14
KH14	18	NUM	1/4	ALL	KH14
KH15	6	WORD	NI	0	KH15
KH16	0	NUM	22	ALL	KH16
KH17	4	NUM	4	ALL	KH17
KH17	11	WORD	A	0	KH17
KH18	4	NUM	5	ALL	KH18
KH18	16	WORD	DA+*301	0	KH18
KH2	2	NUM	20	ALL	KH2
KH2	6	WORD	CYP	0	KH2
KH2	7	NUM	1/4	ALL	KH2
KH20	6	WORD	CYP+E	0	KH20
KH20	8	NUM	1/3	ALL	KH20
KH20	10	WORD	DU-RE-ZA	0	KH20
KH21	2	WORD	CYP	0	KH21
KH21	10	WORD	*306-QE-DU	1,2	KH21
KH22	7	WORD	SI	0	KH22
KH27	5	NUM	4	ALL	KH27
KH29	4	NUM	1	ALL	KH29
KH29	6	WORD	KU-PA	1	KH29
KH29	8	NUM	2	ALL	KH29
KH29	11	NUM	1/2	ALL	KH29
KH3	2	WORD	NU	0	KH3
KH3	3	NUM	1	ALL	KH3
KH30	2	NUM	0	ALL	KH30
KH32	0	WORD	I-*331	1	KH32
KH33	2	WORD	CYP+D	0	KH33
KH33	6	WORD	A	0	KH33
KH34	0	WORD	CYP+E	0	KH34
KH34	3	WORD	NI	0	KH34
KH35	4	NUM	1	ALL	KH35
KH36	2	WORD	MI+JA+RU	0	KH36
KH40	2	WORD	SI-NA	0	KH40
KH41	0	NUM	3	ALL	KH41
KH41	2	WORD	KA-TA-RE	0	KH41
KH43	3	WORD	WI+ZE[	0	KH43
KH46	4	NUM	0	ALL	KH46
KH47	2	WORD	QA-NE	0,1	KH47
KH47	10	WORD	*306	0	KH47
KH5	14	WORD	*301-NA	0	KH5
KH5	18	WORD	CYP	0	KH5
KH5	19	NUM	19/6	ALL	KH5
KH50	2	WORD	TA	0	KH50
KH51	0	WORD	SI-I-SI	0	KH51
KH51	3	NUM	4	ALL	KH51
KH53	0	WORD	A-ME-AROM	0	KH53
KH55	7	NUM	3	ALL	KH55
KH55	9	WORD	NI	0	KH55
KH58	7	WORD	NI	0	KH58
KH58	12	WORD	A	0	KH58
KH58	17	WORD	CYP	0	KH58
KH59	7	WORD	DI-NA	0	KH59
KH6	8	WORD	CYP+D	0	KH6
KH6	14	NUM	1/2	ALL	KH6
KH60	9	WORD	MI+JA+RU	0	KH60
KH61	13	WORD	CYP	0	KH61
KH63	6	NUM	0	ALL	KH63
KH67	4	NUM	1	ALL	KH67
KH73	2	NUM	0	ALL	KH73
KH73	4	WORD	A	0	KH73
KH74	0	WORD	SI	0	KH74
KH75	4	WORD	CYP	0	KH75
KH76	2	WORD	SI	0	KH76
KH78	2	NUM	30	ALL	KH78
KH79+89	6	WORD	PA-DA-NI	0	KH79+89
KH7a	3	WORD	*334	0	KH7.a
KH7b	8	WORD	PA-NA-TU	0	KH7.b
KH80	2	WORD	OLE	0	KH80
KH81	6	WORD	MI+JA+I	0	KH81
KH82	5	NUM	0	ALL	KH82
KH82	10	WORD	*336	0	KH82
KH84	2	WORD	CYP	0	KH84
KH85	2	WORD	OLE+TA	0	KH85
KH85	12	WORD	*304	0	KH85
KH86	0	WORD	RE-ZA	0	KH86
KH9	2	WORD	VIR+*307	0	KH9
KH9	21	WORD	VIN	0	KH9
KH9	29	NUM	1	ALL	KH9
KH90	5	WORD	MA-TA-RI-TA	0,3	KH90
KH91	6	WORD	GRA	0	KH91
KH91	9	WORD	VIN	0	KH91
KH92	3	NUM	10	ALL	KH92
KH94	2	WORD	QA-PU	ALL	KH94
KHWc2057	0	WORD	*337+*188	0	KHWc2056
KHWc2058	0	WORD	*86+*188	0	KHWc2060
KN2	6	WORD	I+*301	0	KN2
KN22a	0	WORD	SU-JU-TA	1,2	KN22.a
KN22a	3	WORD	KA-JE	0	KN22.a
KN22b	0	WORD	PO-DI-PA3	0,2	KN22.b
KN22b	1	NUM	110	ALL	KN22.b
KN22c	0	WORD	MA-SU-MI	0,1,2	KN22.c
KN28a	5	NUM	1	ALL	KN28.a
KN28a	10	WORD	GRA	0	KN28.a
KN28b	4	WORD	TE	0	KN28.b
KN28b	9	WORD	SU+MI	0	KN28.b
KN32a	2	WORD	A-PA	0,1	KN32.a
KN54	2	WORD	PU-RA	0,1	KN54
KN54	5	NUM	1/16	ALL	KN54
KNWb33	0	WORD	QA-KI	1	KNWb33
KNZa10	0	WORD	TA-NU-MU-TI	2	KNZa10
KNZb20	0	WORD	NA-A-PA3	0	KNZb20
KNZb5	0	WORD	A-TU-RI-SI-TI	2	KNZb5
KNZb52	0	WORD	ZU-RI-NI-MA	1	KNZb52
KNZc7	0	WORD	A-KA-NU-ZA-TI	3	KNZc7
KNZc7	4	WORD	A-ZU-RA	1	KNZc7
KNZc7	7	WORD	JA-SA-RA-A-NA-NE	1,2	KNZc7
KNZf13	0	WORD	A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA-KU	11,14,15,18	KNZf13
KNZf31	2	WORD	DA-DU-MI-NE	1	KNZf31
KNZf31	8	WORD	TE-SU-DE-SE-KE-I	3	KNZf31
KNZf31	16	WORD	TA-TE-I-KE-ZA-RE	3	KNZf31
KNZg55	0	WORD	JA-SA-JA	1	KNZg55
KOZf2	0	WORD	A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI-ZA	0,1,2	KO(?)Zf2
LAZb1(bis)	0	WORD	JA-TI-TU-KU	1	LAZb1(bis)
MA10b	0	WORD	DU-PI-TE-WA	0,1	MA10.b
MA1c	0	WORD	TI	0	MA1.c
MA2b	9	WORD	TI	0	MA2.b
MA4a	6	WORD	HIDE+SA+L	0	MA4.a
MA6a	0	WORD	HIDE+[?]	0	MA6.a
MA6c	0	WORD	HIDE+B	0	MA6.c
MA6c	3	WORD	HIDE+[?]	0	MA6.c
MA6c	6	WORD	HIDE+[?]	0	MA6.c
MA6d	0	WORD	HIDE+[?]	0	MA6.d
MA9	0	NUM	2000	ALL	MA9
MI2	4	WORD	DU-KA	0	MI2
NEZa1	0	WORD	I-DA	1	NEZa1
PA1	0	WORD	A-KU-JU-PA-*118	2	PA1
PE1	4	NUM	50	ALL	PE1
PE1	14	NUM	36	ALL	PE1
PE2	5	NUM	9/8	ALL	PE2
PE2	7	WORD	A-*325-ZA	2	PE2
PE2	11	NUM	1/4	ALL	PE2
PE2	16	WORD	TO-ME	1	PE2
PEZc4	0	WORD	A-JA	0	PEZc4
PEZc4	1	WORD	JA-SI	1	PEZc4
PH10	2	NUM	0	ALL	PH10
PH12a	1	NUM	10	ALL	PH12.a
PH14a	1	WORD	NI	0	PH14
PH15a	2	NUM	11	ALL	PH15
PH16a	0	WORD	TI-NA	0	PH16.a
PH19	0	WORD	PI-O	0,1	PH19.a
PH1a	3	NUM	0	ALL	PH1.a
PH1b	1	WORD	NA	0	PH1.b
PH1b	6	WORD	NI	0	PH1.b
PH2	9	WORD	SE-SA-PA3	0	PH2
PH27	2	WORD	TE	0	PH27
PH28a	2	WORD	A-PA3	0,1	PH28.a
PH30	2	WORD	TI	0	PH30
PH30	3	NUM	1/4	ALL	PH30
PH30	5	WORD	MA-RE-RI-MI-DE	2,4	PH30
PH31a	2	WORD	A	0	2.a
PH31b	2	WORD	*22F	0	2.b
PH31b	6	NUM	1	ALL	2.b
PH31b	8	WORD	DU-RI	0	2.b
PH31b	15	NUM	1	ALL	2.b
PH31b	21	WORD	*21M	0	2.b
PH31b	23	NUM	1	ALL	2.b
PH31b	25	WORD	RI-RU-MA-TI	0	2.b
PH31b	32	NUM	1	ALL	2.b
PH3a	14	WORD	PA-RA	0,1	PH3.a
PH3a	17	WORD	PA	0	PH3.a
PH3a	19	NUM	1	ALL	PH3.a
PH3b	0	WORD	]MI+JA	0	PH3.b
PH3b	8	WORD	SI	0	PH3.b
PH3b	9	NUM	5/4	ALL	PH3.b
PH7a	8	WORD	JA-SI-DA-RA	1,3	PH7.a
PH7b	2	WORD	TA	0	PH7.b
