family	endpoint	unit	universe	status	selection_history	reference
prereg_anastasiadou	ПРЕДРЕГИСТРАЦИЯ №2: гапакс-доля слов на Wc-пломбах выше не-Wc	слово-токен	перестановка не-Wc токенов, R=10000	NOT-CONFIRMED (0.38 против нуля 0.57±0.06, p≈1.0, обратное направление; один прогон, опубликовано как вышло). Пост-хок диагноз (НЕ спасение результата): прокси выбран неудачно — Wc-словарь доминируют повторяющиеся *4XX-VS сосудные слова и ПОВТОРЫ одних слов на разных пломбах (PA-SE-JA ×2, TA-NI-KA ×2, WA-DI-NI ×2…), что для именных печатей ОЖИДАЕМО; корректный эндпойнт для будущей предрегистрации — межпломбовая повторяемость слов против межтабличной	заморожено c3fb6e4 до написания теста; провал информативен о прокси	§DL (этап 30); roundels.log
sign306_row	*306 принадлежит ряду Z	слово с одним неизвестным знаком	нормированные голоса рядов по 3 базам	EXPLORATORY-TRIPLE (Wayback-Z §AV, lb2-Z §BJ, DĀMOS-Z с отрывом норм.213 §DJ; выброс — именной канал §CC давал ∅/I). *118-R на DĀMOS НЕ воспроизвёлся — понижен до неразрешённого	вердикты копились по мере добавления баз	§AV, §BJ, §CC, §DJ
prereg_roundel_repetition	ПРЕДРЕГИСТРАЦИЯ №3 (исправленный эндпойнт Anastasiadou): среди ЧИСТЫХ слоговых полных слов (>=2 знаков, без */+ знаков) доля токенов на Wc-документах, чей тип встречается на >=2 РАЗНЫХ Wc-документах, ВЫШЕ, чем та же внутринаборная межэ-документная повторяемость в случайных наборах того же числа не-Wc документов (R=10000, seed=42, односторонний p<0.05)	слово-токен / документ	перестановочный нуль: случайные наборы не-Wc документов того же числа; статистика повторяемости считается внутри набора	PRE-REGISTERED-LOCKED (заморожено этим коммитом до написания теста; один прогон, публикация как вышло)	эндпойнт исправлен после провала №2 (печати повторяют имена по устройству); исключение *-слов заявлено заранее (урок №2: сосудные *4XX-VS доминируют Wc)	§DN (этап 31)
prereg_donnelly	LA→CM преемственность на новых данных Donnelly	знак	будет заявлено	PRE-REGISTERED (не начат; требует CM-корпуса)	из главы Donnelly (AURA)	§DG
prereg_nosch	текстильные логограммы: экспертный набор Nosch-Weilhartner vs наши классы	логограмма	—	NOT-VIABLE (нет мощности: в корпусе TELA ×2, HIDE ×15, TA-HIDE ×1 — текстильный слой LA слишком тонок для теста; зафиксировано без запуска, §DV)	инвентарь проверен до заморозки эндпойнта — предрегистрация не создавалась	§DV (этап 36)
skeletal_pairs	одноклассовость замещений в скелетных рамках (порт этрусков п.3)	пара заполнителей рамки	перестановка заполнителей между рамками	NOT-CONFIRMED на LA (0.463 против 0.449, p=0.22) — техника не переносится при нашем размере корпуса/грануляции классов	порт выполнен как заявлен, без подгонки	§DT (этап 36); skeletal_pairs.log
restoration_ruler	линейка восстановимости лакун (порт этрусков п.4)	слово-позиция (LOTO по табличкам)	частотный базлайн	ИЗМЕРЕНО: формуляр LA восстанавливает операторы top-1 5.4% (базлайн 0%), имена 0.0%, прочее 1.3% — ВТРОЕ слабее этрусского; предложения по восстановлению лакун LA не имеют формульной опоры	линейка честности, не тест гипотезы	§DU (этап 36); restoration.log
genre_openness_lb	D-серии Кносса: слот пастуха открытее второго слота	документ (пары позиций)	обмен позиций внутри документа	CONFIRMED-EXPLORATORY (TTR1=0.56 против TTR2=0.32, Δ=+0.236, p=0.0001) — пятая точка жанровой таблицы (LA-адм +, LA-религ −, этр-эпитафии −, этр-ритуал +, LB-адм +)	продолжение §CM/этрусских пп.9-10	§DU (этап 36); damos_formular.log
prereg_dseries_slots	ПРЕДРЕГИСТРАЦИЯ №4 (зеркало №3): в KN D-документах DĀMOS (>=2 чистых слов) МЕЖДОКУМЕНТНАЯ повторяемость токенов слота 1 (первое слово; «пастухи») НИЖЕ повторяемости слота 2 («коллекторы/топонимы»): Δ = rep2 − rep1 > 0; нуль — обмен позиций 1<->2 внутри документа с вероятностью 1/2 (R=10000, seed=42, односторонний p<0.05)	слово-токен по позициям	обмен позиций внутри документа	CONFIRMED (369 док., rep1=0.572 vs rep2=0.778, Δ=+0.206, p=0.0001; один прогон 2026-07-11, dseries_prereg4.log). Счёт предрегистраций LA 3/4	эндпойнт — зеркало подтверждённой №3 (печати повторяют, пастухи уникальны); TTR-версия §DU уже видела направление — предрегистрация фиксирует НОВУЮ метрику (междокументная повторяемость) на том же материале, что заявлено честно	§DW (этап 37)
la_curator_class	повторяемые неоператорные первые слова HT (KA-PA, A-KA-RU, JE-DI, *21F-TU-NE) — аналог класса коллекторов	слово-тип / физическая табличка	дескриптивный профиль против KN-коллекторов	EXPLORATORY (13/16 вхождений инициальны, покрытие 9% HT-док.; KN-бимодальность: 7/10 топ-повторяемых слота 1 = известные коллекторы — слепое переоткрытие класса; оговорка: A-KA-RU — 2 физические таблички, HT86a/b стороны одной)	кандидаты выбраны по данным (§DX) — класс post-hoc, подтверждающего теста нет; внешний список коллекторов заявлен в скрипте до подсчёта	§DX-§DY (этапы 38-39); collectors.log, curators_la.log
lb_toso_arithmetic	to-so считает (параллель §A KU-RO 40/40)	документ	точная сумма в полностью сохранных	NOT-VIABLE (фильтр полной сохранности оставляет 1 документ DĀMOS; ослабление фильтра после взгляда — подгонка; закрыто без теста)	эндпойнт задуман как §A-параллель, инвентарь проверен до формулировки нуля	§DY (этап 39); toso_arithmetic.log
prereg_schoep	непрерывная региональная хронология вместо MM/LM-блоков	табличка	будет заявлено	PRE-REGISTERED (не начат)	из главы Schoep (AURA)	§DG
